pos	id	title	duration_s	words	sentences	wps	verdict	provenance
514	-f_h0ogRTjY	EEVblog #1335 - Miniware $70 DT71 LCR Tweezer REVIEW	1794	5216	432	12.1	good	youtube-asr
515	YYydU4l6sLo	EEVblog #1334 - Mystery Dumpster Teardown	1791	4831	479	10.1	good	youtube-asr
516	uzV_uzSTCTM	EEVblog #1333 - Nuclear Diamond Self-Charging Battery DEBUNKED!	1678	4382	355	12.3	good	youtube-asr
517	ckCHGbxtoGg	EEVblog #1332 - Facit Mechanical Calculator!	1596	4236	361	11.7	good	youtube-asr
518	WysR1gF0QjI	eevBLAB #79 - Bunker Shelving Storage BUILD + Moving Labs!	757	2435	3	811.7	needs-whisper	whisper-large-v3
519	-nwCYfff6Hc	EEVblog #1331 - BattLab One Review	2272	7226	11	656.9	needs-whisper	whisper-large-v3
520	gj70jpdVMPY	EEVblog #1330 - Mailbag with GUEST LABS!	2913	7988	8	998.5	needs-whisper	whisper-large-v3
521	TSwohZSjSdg	EEVblog #1329 - Magnetic Field Shielding DEMONSTRATED	701	1811	129	14.0	good	youtube-asr
522	UVjLoJMVL0s	EEVblog #1328 - uCurrent OPA189 Measurements	1384	3968	279	14.2	good	youtube-asr
523	2AcpRCNhbsw	EEVblog #1327 - 3 Ways to FAIL at PCB Manufacture	1623	4665	416	11.2	good	youtube-asr
524	6cm27PLwUYc	EEVblog #1326 - How Engineering Minds Think Alike	2865	8703	10	870.3	needs-whisper	whisper-large-v3
525	0AEVilxXAAo	EEVblog #1325 - OPAMP Shootout - Datasheet Deep Dive	1759	5045	437	11.5	good	youtube-asr
526	v8sCyr5pZkc	EEVblog #1324 - Oscilloscope Reference Waveforms are USEFUL	658	1961	96	20.4	good	youtube-asr
527	xhRhsCVF8mE	EEVblog #1323 - PCB Layout Review & Analysis	2249	6987	459	15.2	good	youtube-asr
528	IjVMSCFc5rY	EEVblog #1322 - JBL LSR308 Studio Monitor Speaker REPAIR	1826	5533	499	11.1	good	youtube-asr
529	AvAlEe6qecM	EEVblog #1321 - SunPlower - DUMBEST IDEA Since Solar Roadways!	1187	3160	3	1053.3	needs-whisper	whisper-large-v3
530	KJEmBtvZrPU	eevBLAB #78 - Engineering Student Job Advice	533	1709	0	1709.0	needs-whisper	whisper-large-v3
531	mN_YGKt_ijk	EEVblog #138 - Top 5 Engineering Graduate Tips	705	1940	0	1940.0	needs-whisper	whisper-large-v3
532	GZHnrGIK9V8	EEVblog #1320 - Premature Oscilloscope Triggering	1091	2946	257	11.5	good	youtube-asr
533	FUjRmecLGzw	eevBLAB #77 - TV Packaging Technology is INTERESTING	647	1724	0	1724.0	needs-whisper	whisper-large-v3
534	8xy3Jg_Wukg	EEVblog #1319 - NEW TS80P Portable USB PD Soldering Iron Review	1581	4791	455	10.5	good	youtube-asr
535	dCLxiN_dpjU	eevBLAB #76 - HUGE Youtube Ad Changes will impact YOU!	1012	3013	4	753.2	needs-whisper	whisper-large-v3
536	W0mMOHrftgU	Youtube DELETED Jordan Pier's Electronics Repair Channel!	604	1676	0	1676.0	needs-whisper	whisper-large-v3
537	y5qjGPZ5VhQ	EEVblog #1318 - What's State-of-the-Art in µCurrent Opamps?	3188	9037	68	132.9	needs-whisper	whisper-large-v3
538	5iwtDwJlbWk	EEVblog #1317 - $140 2CH 100MHz Fnirsi Tablet Oscilloscope Review	1799	5325	443	12.0	good	youtube-asr
539	nOQhdgY8aBM	EEVblog #1316 - Quantum Computing for Electrical Engineers	1795	4568	457	10.0	good	youtube-asr
540	lmy8J8n9wPU	EEVblog #1315 - Ultrasound Probe Extreme Teardown!	1112	3186	259	12.3	good	youtube-asr
541	1mOQGJsfC4E	EEVblog #1314 - Ultrasound Machine Teardown!	2998	9037	728	12.4	good	youtube-asr
542	7QjsjWClyKU	EEVblog #1313 - Bad Luck Mailbag	3145	8913	5	1782.6	needs-whisper	whisper-large-v3
543	wLcdZjFuho0	EEVblog #1312 - Siglent Oscilloscopes CRIPPLING History Mode!	570	1663	126	13.2	good	youtube-asr
544	bVxDibdosdI	EEVblog #1311 - Can Your Oscilloscope Zoom OUT?	1319	3927	313	12.5	good	youtube-asr
545	aJURlsuui4I	EEVblog #1310 - 5G USB BioShield SCAM!	1798	4813	359	13.4	good	youtube-asr
546	HxzQS-Bn2R0	EEVblog #1309 - Siglent SDS2000X Plus Scope Teardown+Hack	2749	7471	618	12.1	good	youtube-asr
547	SBkW_pzhUSs	EEVblog #1308 - 1970's Intel MCS-85 8085 Design Kit!	1799	4814	373	12.9	good	youtube-asr
548	RwVzLOI4cmA	EEVblog #1307 - TUTORIAL: PCB BOM Consolidation	2335	7123	442	16.1	good	youtube-asr
549	E81hlwciXJU	EEVblog #1306 (5 of 5): Spooky Action - Hardware Testing	1259	3298	0	3298.0	needs-whisper	whisper-large-v3
550	HAQG_pnnfn0	EEVblog #1306 (4 of 5): Open Source SDCC C Compiler	2208	5929	631	9.4	good	youtube-asr
551	2CDN8EQmOeo	EEVblog #1306 (3 of 5) : How to program an STM32 using DFU Bootloader	931	2560	10	256.0	needs-whisper	whisper-large-v3
552	VJJmtm0VmIs	EEVblog #1306 (2 of 5): PCB SMD Hand Soldering & Assembly	2004	5593	6	932.2	needs-whisper	whisper-large-v3
553	4fvFLSeDc4M	EEVblog #1306 (1 of 5): 3 Cent Micro - Open Source Programmer	2481	7678	575	13.4	good	youtube-asr
554	ffaiKZMU0Lw	EEVblog #1305 - HEPA Solder Fume Extractor	1079	3465	278	12.5	good	youtube-asr
555	TyCqcR-ferk	EEVblog #1304 - Mailbag	4109	10916	6	1819.3	needs-whisper	whisper-large-v3
556	6juM5ygT9is	EEVblog #1303 - New Lab LED Panels	703	2062	7	294.6	needs-whisper	whisper-large-v3
557	wU3FAIaAF0I	eevBLAB #75 - Income Shootout! LBRY vs Youtube!	1063	3157	7	451.0	needs-whisper	whisper-large-v3
558	hy1fOSj8_uw	EEVblog #1302 - Scrapping a Dumpster Laser Printer For Parts	1775	4786	490	9.8	good	youtube-asr
559	i36yCY1pyrY	EEVblog #1301 - Arcade Machine Repair	2117	6136	516	11.9	good	youtube-asr
560	f496QtJDgzc	"EEVblog #1300 - ""Parts Per"" Notation EXPLAINED"	597	0	0	0	no-captions	whisper-large-v3
561	YfpUggLais4	EEVblog #1299 - Dumpster Laptop REPAIR	1113	3146	348	9.0	good	youtube-asr
562	4vHx-UyIM9M	eevBLAB #74 - 5G Causes EVERYTHING!	3271	8565	691	12.4	good	youtube-asr
563	GUxszz_lo14	EEVblog #1298 - $70 2000W Power Supply	3325	9234	844	10.9	good	youtube-asr
564	TltM74rNasM	eevBLAB #73 - Medtronics Open Ventilator + Others UPDATE	1275	3557	2	1778.5	needs-whisper	whisper-large-v3
565	ldolTAeXs_w	EEVblog #1297 - Turn an LCD into E-Paper!	491	1405	90	15.6	good	youtube-asr
566	1wrin8FYtEo	eevBLAB #72 - BUSTED! Medtronics Open Ventilator FAIL	911	2553	0	2553.0	needs-whisper	whisper-large-v3
567	889TkOQmCjY	EEVblog #1296 - Alkaline Battery Leakage Testing 2 - Electric Boogaloo	989	2913	3	971.0	needs-whisper	whisper-large-v3
568	bPDr0l05CPY	EEVblog #1295 - What Makes A Good Lab HEPA Air Filter?	1194	3575	226	15.8	good	youtube-asr
569	Mm8StKdwqGU	EEVblog #1294 - LLC Resonant Mode Converter Design	1135	3251	198	16.4	good	youtube-asr
570	Q-gi_jfXhg0	EEVblog #1293 - New Rohde and Schwarz NGP800 800W PSU	2392	6763	639	10.6	good	youtube-asr
571	7j5NtKB0vss	EEVblog #1292 - $2 Meter vs JVA Electric Fence Controller!	1197	3255	306	10.6	good	youtube-asr
572	qsX7tEM6gFA	Pro Tip: DIY Hand Sanitiser	728	2180	127	17.2	good	youtube-asr
573	W_3cdjneOO0	EEVblog #1291 - Mailbag	3287	8643	3	2881.0	needs-whisper	whisper-large-v3
574	0Y-lairMWfM	EEVblog #1290 - Hapbee: Anatomy of a Snake Oil Product	2090	5891	562	10.5	good	youtube-asr
575	z3V-1v-UhTc	EEVblog #1289 - Mystery Huawei Teardown	2205	6197	606	10.2	good	youtube-asr
576	1v2_h-_YHEE	eevBLAB #71: Audience Retention + My Editing Process	1086	3476	1	3476.0	needs-whisper	whisper-large-v3
577	Y8_emfoR_MI	EEVblog #1288 - Synology NAS Dumpster Find! (REPAIR)	1429	3994	318	12.6	good	youtube-asr
578	-QKcprQD0zc	EEVblog #1287 - Gatekeeper Shopping Trolley Lock Investigated	1560	4383	412	10.6	good	youtube-asr
579	9s1sJRO7rwU	EEVblog #1286 - Mailbag	2671	7171	6	1195.2	needs-whisper	whisper-large-v3
580	oIAATOQe3to	EEVblog #1285 - How to do Design By Inspection	1192	3365	246	13.7	good	youtube-asr
581	_kI8ySvNPdQ	EEVblog #1284 - How Bad Product Design Kills The Environment	1714	4894	350	14.0	good	youtube-asr
582	MPcjH6QX96A	eevBLAB #70 - EEVblog Impersonation WARNING!	295	784	2	392.0	needs-whisper	whisper-large-v3
583	Po4b7JhpxKQ	EEVblog #1283- What is Mains Ripple Injection?	1534	4250	374	11.4	good	youtube-asr
584	H8XBBfvsPj0	EEVblog #1282 - Design Your Own Membrane Keypad! (µSupply Part 20)	1787	5519	375	14.7	good	youtube-asr
585	Qt-lTpa1pJk	EEVblog #1281 - Garmin GPS Repair	1106	3105	336	9.2	good	youtube-asr
586	I77hkaCuuh8	EEVblog #1280 - Dumpster Lab PC Upgrade	1398	3866	402	9.6	good	youtube-asr
587	K44sXJK_5oE	School/Group GIVEAWAY: BM235 Multimeters (US Only)	468	1386	2	693.0	needs-whisper	whisper-large-v3
588	-FszeHoK2Ck	EEVblog #1279 - Best Dumpster PC Find Yet!	1195	3340	382	8.7	good	youtube-asr
589	PJs1Ax6M9Qs	EEVblog #1278 - Mailbag	2901	7497	3	2499.0	needs-whisper	whisper-large-v3
590	2LuWr25xgzE	EEVblog #1277 - Electric Fence Controller Teardown	1184	3391	322	10.5	good	youtube-asr
591	l6n8UEKZies	EEVblog #1276 - Solar Roadways Surface TESTED!	930	2499	220	11.4	good	youtube-asr
592	4NQOgd92lM8	EEVblog #1275 - Uniden UHF Walkie Talkie Teardowns	1759	4960	429	11.6	good	youtube-asr
593	MVkPVq0nYbs	EEVblog #1274 - Long Term Alkaline Battery Leakage Testing	1189	3338	251	13.3	good	youtube-asr
594	lYmfVMWbIHQ	EEVblog #1273 - EMC Near Field vs Far Field Explained	985	2833	149	19.0	good	youtube-asr
595	EEEOuduAeI8	EEVblog #1272 - Mailbag	3519	9726	1038	9.4	good	youtube-asr
596	WG-vTc7SwU0	EEVblog #1271 - 100kW WindWall Generator BUSTED!	1799	4967	357	13.9	good	youtube-asr
597	m08EqBTeg4I	EEVblog #1270 - Electronics Textbook Shootout	2699	7617	0	7617.0	needs-whisper	whisper-large-v3
598	r8X76uW1fMY	EEVblog #1269 - Solar Roadways SR4 DATA Hilarity!	1187	3327	11	302.5	needs-whisper	whisper-large-v3
599	Ug7xa-7sako	EEVblog #1268 - DIY Boeing 747 Cockpit Simulator Full Tour	4225	11502	3	3834.0	needs-whisper	whisper-large-v3
600	U5aaDVEeTSQ	EEVblog #1267 - How To Control a 747 Flight Simulator	1535	4543	0	4543.0	needs-whisper	whisper-large-v3
601	gpwkiJC5hfU	EEVblog #1266 - PSU Probing Screw Up!	1031	2886	216	13.4	good	youtube-asr
602	0qjLx_HsKUQ	EEVblog #1265 - $53 360W Lab Bench PSU!	2284	6899	617	11.2	good	youtube-asr
603	7MIWFHsF7Jw	EEVblog #1264 - uSupply Software Development Setup	3532	10991	1764	6.2	good	youtube-asr
604	wjBV0JSV3xs	eevBLAB #69 - The Problem With Bitchute	867	2606	185	14.1	good	youtube-asr
605	pt2CgSphN58	EEVblog #1263 - Mailbag	3175	8673	4	2168.2	needs-whisper	whisper-large-v3
606	SFrUINyYcEA	EEVblog #1262 - Designing a Flex PCB + uSupply Update	3319	9985	757	13.2	good	youtube-asr
607	Ywj-FcVNhec	eevBLAB #68 - Youtube COPPA Adpocalypse 3.0	1193	3682	2	1841.0	needs-whisper	whisper-large-v3
608	7Ls_8Cwi8_s	"EEVblog #1261 - Dumpster Diving 55"" LCD TV"	689	1882	0	1882.0	needs-whisper	whisper-large-v3
609	SIH48bIUU00	EEVblog #1260 - $70 100MHz Oscilloscope?	2202	6146	4	1536.5	needs-whisper	whisper-large-v3
610	mT2Vp3HcIP4	EEVblog #1259 - PCB Manufacturing Options EXPLAINED	4199	13306	869	15.3	good	youtube-asr
611	AkMF_v_vNoE	EEVblog #1258 - MORE Dumpster Wandel And Goltermann!	1184	3214	331	9.7	good	youtube-asr
612	GiN9d6NnTDA	eevBLAB #67 - Shilling NordVPN & Youtube Sponsorships	1181	3583	2	1791.5	needs-whisper	whisper-large-v3
613	RnazibcEJCw	EEVblog #1257 - MORE! $9 0.02% AIMO Process Calibrator	822	2190	227	9.6	good	youtube-asr
614	Yxo_pTfj07U	EEVblog #1256 - GORGEOUS Mystery Test Gear Teardown!	1766	0	0	0	no-captions	whisper-large-v3
615	C6JQQMpXp_s	eevBLAB #66 - Renting vs Buying a Commercial Office Lab	2889	9017	534	16.9	good	youtube-asr
616	Lu8gJ2pKSnY	EEVblog #1255 - Apple iPad 5th Gen Screen REPAIR	1381	3853	1	3853.0	needs-whisper	whisper-large-v3
617	K6yGwkwJ_FY	EEVblog #1254 - Mailbag	3176	8512	955	8.9	good	youtube-asr
618	9M76q2_VfDQ	EEVblog #1253 - LED Flicker 2: Electric Boogaloo	1287	3652	4	913.0	needs-whisper	whisper-large-v3
619	BTq33MiVAsI	EEVblog #1252 - LED Panel Lighting Flicker Investigated	1174	3324	266	12.5	good	youtube-asr
620	2Qi2tL2IvxY	EEVblog #1251 - LifeSaber Kickstarter - A Master of None FAIL	1729	4526	1	4526.0	needs-whisper	whisper-large-v3
621	EICbskk-0dM	EEVblog #1250 - World's Thinnest Wallet Review - Stealth Razor	889	2741	224	12.2	good	youtube-asr
622	AUGRBhfAabY	EEVblog #1249 - TUTORIAL: Timing Diagrams Explained	2201	6326	361	17.5	good	youtube-asr
623	y3h02BDPMJw	EEVblog #1248 - INSANE! A 0.02% Process Meter for $9? WTF!	1485	4116	432	9.5	good	youtube-asr
624	4VTtkF5fzMM	EEVblog #1247 - DDR Memory PCB Propagation Delay & Layout	2374	6758	499	13.5	good	youtube-asr
625	cyHmBMI3zC0	EEVblog #1246 - Dumpster TV to Retro RGB Monitor Conversion	1781	5070	469	10.8	good	youtube-asr
626	9inGSp2QnfI	EEVblog #1245 - A Most Excellent REPAIR: IBM PCjr Keyboard	1694	4858	6	809.7	needs-whisper	whisper-large-v3
627	Uib8nUV1JEg	EEVblog #1244 - Mailbag	2994	8057	1046	7.7	good	youtube-asr
628	8ToVCAhLg8A	EEVblog #1243 - Sony Boombox REPAIR and Teardown	1724	4959	519	9.6	good	youtube-asr
629	XoHkE4xgaFA	EEVblog #1242 - Memory LCD+Supercaps+Low Power Design	1649	4630	403	11.5	good	youtube-asr
630	fGSG-zvWP_I	eevBLAB #65 - No Professional Engineer Title For You!	1194	3175	234	13.6	good	youtube-asr
631	nTpE1Nw3Yy4	EEVblog #1241 - Power Up Display Counter Project - Part 1	2203	6285	5	1257.0	needs-whisper	whisper-large-v3
632	CWxTCQf5gOU	EEVblog #1240 - Tandy In The 1980's	1142	3244	350	9.3	good	youtube-asr
633	WzpXyNNZg38	eevBLAB #64 - Tesla Solar City Panels Are CATCHING ON FIRE!	664	1884	171	11.0	good	youtube-asr
634	w0XTHBN-IIg	EEVblog #1239 - Mailbag	2247	6060	718	8.4	good	youtube-asr
635	3EgRMEc8R_I	eevBLAB #63: How Affordable Are Electric Cars?	1567	4496	2	2248.0	needs-whisper	whisper-large-v3
636	1k04p4UgS6Y	EEVblog #1238 - Vion: The World's Worst Multimeter!	2374	6496	823	7.9	good	youtube-asr
637	6423QfwiWc8	Youtube Video Notification Issue?	422	1193	6	198.8	needs-whisper	whisper-large-v3
638	lOs4A2OL2tM	EEVblog #1237 - Old School Teardown: HP3785A Jitter Analyser	1427	3872	405	9.6	good	youtube-asr
639	I7nbYBcH0tU	EEVblog #1236 - German Solar Freakin' Roadways!	1429	3536	4	884.0	needs-whisper	whisper-large-v3
640	mZYC80fkNsg	EEVblog #1235 - How To Align Signals On A Digital Oscilloscope	1194	3312	221	15.0	good	youtube-asr
641	7ngWjH0jdRo	EEVblog #1234 - MORE Epic Solar Roadways FAIL!	989	2713	252	10.8	good	youtube-asr
642	dM50P4K9UVk	EEVblog #1233 - The Demise Of Solar Roadways	1736	4705	344	13.7	good	youtube-asr
643	WC1YT66c9KM	EEVblog #1232 - Add Web Access To Old Instruments!	1199	3377	290	11.6	good	youtube-asr
644	99_WFvP_T9E	EEVblog #1231- New Uni-T UPO3000 Oscilloscope Teardown	2121	5590	559	10.0	good	youtube-asr
645	2yW3GW_6LBM	EEVblog #1230 - How The Apollo 11 Moon Walk Video Happened	1197	3398	220	15.4	good	youtube-asr
646	MwL3qgMNYLc	EEVblog #1229 - Mailbag	2787	7050	1083	6.5	good	youtube-asr
647	7v-P75MOZ5o	EEVblog #1228 - Do Digital Scopes Have REAL Verniers?	1134	3222	213	15.1	good	youtube-asr
648	m9xWd25ebPg	EEVblog #1227 - The Free Energy Community RESPONDS!	929	2235	0	2235.0	needs-whisper	whisper-large-v3
649	8iE28oGtayQ	EEVblog #1226 - Get Better Accuracy On Your Oscilloscope	887	2497	234	10.7	good	youtube-asr
650	5ZQHSsFnACs	EEVblog #1225 - Dumpster Credit Card Embosser!	1769	4986	1	4986.0	needs-whisper	whisper-large-v3
651	t1R9IQF0Y9s	EEVblog #1224 - uBeam is Sinking!	1774	4936	2	2468.0	needs-whisper	whisper-large-v3
652	G8Qoj3TpO9A	EEVblog #1223 - Oscilloscope Standard Deviation Noise Measurement	1055	2908	196	14.8	good	youtube-asr
653	jtUwBZ4R9fI	EEVblog #1222 - Apple's MacBook Design FAIL - Who's To Blame?	2391	7314	464	15.8	good	youtube-asr
654	PA-XTgy_m2k	EEVblog #1221 - Mailbag Monday	2387	6313	3	2104.3	needs-whisper	whisper-large-v3
655	oxu19IFHMgc	EEVblog #1220 - Siglent SDS5000X 1GHz Oscilloscope Review	4015	11320	1104	10.3	good	youtube-asr
656	mCyYlvrQ6AM	EEVblog #1219 - Don't Trust Switches - Toy Repair	577	1660	0	1660.0	needs-whisper	whisper-large-v3
657	glktcnck-uk	EEVblog #1218 - 1GHz Oscilloscope Spec Shootout	2926	9225	634	14.6	good	youtube-asr
658	ITfQ4S0OUhs	EEVblog #1217 - My Home Solar Power System FAILED!	448	1105	0	1105.0	needs-whisper	whisper-large-v3
659	jhAXPnm8BP0	EEVblog #1216 - PCB Layout + FPGA Deep Dive	3558	10658	770	13.8	good	youtube-asr
660	jlaxgiszfEo	EEVblog #1215 - $18,000 4K Monitor Teardown From 2001!	1796	5252	417	12.6	good	youtube-asr
661	cV1xSLrkAGA	EEVblog #1214 - Insanely Fast Slot Cars!	678	1451	219	6.6	good	youtube-asr
662	W4twnd-YQQ4	EEVblog #1213 - The Oscilloscope Interpolation Trap!	1020	2797	1	2797.0	needs-whisper	whisper-large-v3
663	mUbxjP2Vw3A	EEVblog #1212 - Dumpster Diving PC Motherlode!	979	2898	248	11.7	good	youtube-asr
664	uawHtD4eWhE	EEVblog 1211 - Apple's Most Beautiful Failure. The G4 Cube	1679	4842	411	11.8	good	youtube-asr
665	cci-npGQE-U	EEVblog #1210 - Sony Waterproof Earphones Teardown	1172	3347	277	12.1	good	youtube-asr
666	IKHg32o8rRg	EEVblog #1209 - Mailbag	2554	6933	737	9.4	good	youtube-asr
667	x0Dk5SSCMZo	EEVblog #1208 - Circuit Analysis & Debugging	1679	4958	329	15.1	good	youtube-asr
668	ZQq8V73b4io	EEVblog #1207 - ARM Dev Boards Falling From The Sky!	1186	3312	6	552.0	needs-whisper	whisper-large-v3
669	zaYBc0akaUE	eevBLAB #62 - PCB Wars - The Rise Of KiCAD	560	0	0	0	no-captions	whisper-large-v3
670	vS4tJxqk00U	EEVblog #1206 - Repair: Sony NEX VG30 Video Camera	945	2667	203	13.1	good	youtube-asr
671	lamL392NJRM	EEVblog #1205 - RC2014 Z80 Computer Kit Build	2200	5392	3	1797.3	needs-whisper	whisper-large-v3
672	Rq14Cn13dBw	EEVblog #1204 - Samsung Galaxy Fold Failure - Analysis	1294	3935	1	3935.0	needs-whisper	whisper-large-v3
673	Rp-0FqxQkBw	EEVblog #1203 - REPAIR: Tektronix 2465B Oscilloscope	2461	6620	723	9.2	good	youtube-asr
674	neM2BvZ9BiY	EEVblog #1202 - LCD Repair Redux	1759	5018	437	11.5	good	youtube-asr
675	yPLA69a5OOU	EEVblog #1201 - Nobel Laureate in the EEVBlog Lab!	2953	8132	26	312.8	needs-whisper	whisper-large-v3
676	5Q1MPrgea1M	EEVblog #1200 - BUSTED! - Energizer & Duracell NiMH	1182	3040	241	12.6	good	youtube-asr
677	YITrlQcKGPw	EEVblog #1199 - Samson C01U USB Microphone Teardown	945	2719	211	12.9	good	youtube-asr
678	GKyKjgOF2cw	EEVblog #1198 - 10 Years On Youtube!	1419	4242	289	14.7	good	youtube-asr
679	nGL8X8FS4eQ	EEVblog #1197 - DIY PCB Etching With Water	955	2402	228	10.5	good	youtube-asr
680	RTmzVs6LHRo	EEVblog #1196 - Custom Heat Sink Design (µSupply Part 19)	1491	0	0	0	no-captions	whisper-large-v3
681	JrZH_ZQNFzo	"EEVblog #1195 - Sony 4K 60"" LCD TV Audio Repair"	982	2414	1	2414.0	needs-whisper	whisper-large-v3
682	Zv9g8-pTfeY	EEVblog #1194 - 1985 Electronics	1287	3469	397	8.7	good	youtube-asr
683	2v5IvaWrPKk	EEVblog #1193 - KiCAD PCB 4 Layer Swapping & Stackup	3242	9440	955	9.9	good	youtube-asr
684	GcECR1FRnb8	eevBLAB #61 - The Demise Of Electronics Australia	759	2041	172	11.9	good	youtube-asr
685	uiHk1jY1Cxo	EEVblog #1192 - Power Meter LCD Repair	792	2177	183	11.9	good	youtube-asr
686	yw6mf2sWk2k	EEVblog #1191 - Digital Energy Savers BUSTED!	1092	2784	290	9.6	good	youtube-asr
687	7iXwRlGDLmI	EEVblog #1190 - Mailbag Review Bonanza	4285	12157	1223	9.9	good	youtube-asr
688	Y4nKxjfXgcg	EEVblog Lab Flood Update #1	323	811	0	811.0	needs-whisper	whisper-large-v3
689	3METfruYMUo	EEVblog Lab FLOODED!	473	963	0	963.0	needs-whisper	whisper-large-v3
690	HfqpuhYiR3o	eevBLAB #60 - Kickstarter Free Energy SCAMS!	1129	2630	2	1315.0	needs-whisper	whisper-large-v3
691	Nps60OcgYAw	EEVblog #1189 - Ebay $140 6.5 digit DMM Bargain!?	1721	4812	468	10.3	good	youtube-asr
692	nImoQcoqkuQ	EEVblog #1188 - $10 DIY EMC Probe using Scope FFT	1183	3375	275	12.3	good	youtube-asr
693	4cB2tQpxxng	Keysight Scope(s) GIVEAWAY!	288	844	0	844.0	needs-whisper	whisper-large-v3
694	J3pE_mDwCpk	EEVblog #1187 - Room Heater Technology Explained	2160	6298	347	18.1	good	youtube-asr
695	JnM4UcSDDpk	EEVblog #1186 - Solus Graphene Heater Kickstarter BUSTED!	2608	6911	563	12.3	good	youtube-asr
696	-Z5GsZ9wLiU	EEVblog #1185 - Dumpster Tek 500MHz TDS540D Scope	1783	4777	466	10.3	good	youtube-asr
697	I2HcJ80OyrA	EEVblog #1184 - Ebay $200 6.5 Digit Meter Search	2150	6501	455	14.3	good	youtube-asr
698	XAbrU17hLTM	EEVblog #1183 - RIFA Madness (Schaffner Repair)	1144	3198	259	12.3	good	youtube-asr
699	fp3eJkH8llI	EEVblog #1182 - Mains Interference Simulator Teardown	1185	3113	280	11.1	good	youtube-asr
700	XgXwfBTKLGU	EEVblog #1181 - Car ECO OBD2 OptiFuel Fuel Saver SCAM!	899	2515	165	15.2	good	youtube-asr
701	zqlAq266aTs	EEVblog #1180 - Component Parametric Search Tutorial	2153	6233	494	12.6	good	youtube-asr
702	OD7LWczxemw	EEVblog #1179 - Mailbag	2173	5744	1	5744.0	needs-whisper	whisper-large-v3
703	2xy3Hm1_ZqI	EEVblog #1178 - Build a $10 DIY EMC Probe	1136	3358	252	13.3	good	youtube-asr
704	uRaB6xtAPj8	eevBLAB  #59 - Patreon Is An Unsustainable Business!	1093	2972	2	1486.0	needs-whisper	whisper-large-v3
705	GZCTwXZIwjc	EEVblog #1177 - Ericsson PABX Teardown	1068	2905	0	2905.0	needs-whisper	whisper-large-v3
706	crs_QLuUTyQ	EEVblog #1176 - 2 Layer vs 4 Layer PCB EMC TESTED!	2181	6333	363	17.4	good	youtube-asr
707	WQRdEtqLabE	eevBLAB #58 - Engineers Are Underappreciated	222	556	0	556.0	needs-whisper	whisper-large-v3
708	0Tk13MijU4Y	EEVblog #1175 - How To Become A Professional Engineer	1178	3494	211	16.6	good	youtube-asr
709	Z6F7Pwi6WLI	EEVblog #1174 - Rohde & Schwarz PSU Teardowns	1780	4750	3	1583.3	needs-whisper	whisper-large-v3
710	UXmJpLO8beE	EEVblog #1173 - Rohde & Schwarz Power Supply Bonanza	1780	5032	3	1677.3	needs-whisper	whisper-large-v3
711	4n7iE7pw_WQ	EEVblog #1172 - TRIAC Testing (WEP Meltdown Part 2)	1007	2848	164	17.4	good	youtube-asr
712	tUFW5teeRBM	EEVblog #1171 - Yihau WEP SMD Rework Station Meltdown!	1475	4147	401	10.3	good	youtube-asr
713	xo4sojpJIBI	EEVblog #1170 - TRUE Mystery Teardown! (not even Dave knows)	1060	2734	4	683.5	needs-whisper	whisper-large-v3
714	ujs7qws1Pgo	eevBLAB #57 - Solar Freakin' Cruise Ships! & Critical Thinking	757	2145	139	15.4	good	youtube-asr
715	OA7_jwk-dGc	EEVblog #1169 - TI 1972 Computer Interfacing	1780	4452	2	2226.0	needs-whisper	whisper-large-v3
716	qtDY6DEK-dE	EEVblog #1168 - Dumpster Diving UPS	1169	2858	5	571.6	needs-whisper	whisper-large-v3
717	Nes0MnoeRtg	EEVblog #1167 - Let's Talk About Patents	1762	4898	5	979.6	needs-whisper	whisper-large-v3
718	YcJCnrpBo4I	EEVblog #1166 - Amazing 1980's Touch Screen Calculator Watch!	1187	3135	233	13.5	good	youtube-asr
719	FjlyLIpf4HU	EEVblog #1165 - Cypres Parachute Safety AAD Teardown	1983	5651	2	2825.5	needs-whisper	whisper-large-v3
720	LBoF1e5YDdQ	EEVblog #1164 - Xbox Engineering Baptism Of Fire	1799	4851	354	13.7	good	youtube-asr
721	OtRSR_v3ZgM	EEVblog #1163 - Xmas Mailbag	3288	8172	7	1167.4	needs-whisper	whisper-large-v3
722	IcKlyIEfoPI	EEVblog #1162 - Little British Monitors	1519	4375	2	2187.5	needs-whisper	whisper-large-v3
723	aJODkRsi1eI	EEVblog #1161- Automated Coffee Machine Dumpster Teardown	1754	4893	538	9.1	good	youtube-asr
724	XUtj-bWHeKY	EEVblog #1160 - Weller Responds!	553	1297	107	12.1	good	youtube-asr
725	Ong91Ji3iDk	EEVblog #1159 - World's Most Precise Pocket Calculator	1077	2823	306	9.2	good	youtube-asr
726	jey8NmffhTo	EEVblog #1158 - How To Create PCB Mod Boards	1040	3226	179	18.0	good	youtube-asr
727	BGcKjy_UNQ4	EEVblog #1157 - Transistor Zener Clamp Circuit	1191	0	0	0	no-captions	whisper-large-v3
728	hhD8-faJuy4	EEVblog #1156 - Focal Professional CMS40 Studio Monitor Teardown	845	2267	197	11.5	good	youtube-asr
729	XrhCGrZyIVM	EEVblog #1155 - Mailbag	1992	5052	6	842.0	needs-whisper	whisper-large-v3
